title,release_date,pages,publisher,description,barcode,isbn,edition,category,rating,book_id,image_fpath,summary,price
Noogies,01/01/2009,,Titan,,15266570,9.78E+12,1,Graphic novels.,,98114,,,
Logicomix,01/01/2009,,Bloomsbury,,15271036,9.78E+12,1,Graphic novels.,,98119,,,
Dumped,01/01/2009,,Evans,,15291264,9.78E+12,1,Graphic novels.,,98123,,,
Goal,01/01/2009,,Evans,,15291266,9.78E+12,1,Graphic novels.,,98125,,,
Blast,01/01/2009,,Evans,,15291267,9.78E+12,1,Graphic novels.,,98126,,,
Scout,01/01/2009,,Evans,,15291268,9.78E+12,1,Graphic novels.,,98127,,,
Fight,01/01/2009,,Evans,,15291269,9.78E+12,1,Graphic novels.,,98128,,,
Dare,01/01/2009,,Evans,,15291270,9.78E+12,1,Graphic novels.,,98129,,,
Grind,01/01/2009,,Evans,,15291271,9.78E+12,1,Graphic novels.,,98130,,,
The Dalek project,01/01/2012,,BBC Books,,15292349,9.78E+12,1,Graphic novels.,,98131,,,
The James Bond omnibus.,01/01/2009,,Titan,,15292430,9.78E+12,1,Graphic novels.,,98135,,,
Star Trek :countdown,01/01/2009,,Titan Books,,15294885,9.78E+12,1,Graphic novels.,,98136,,,
Absolute V for vendetta,01/01/2009,,Titan,,15302981,9.78E+12,1,Graphic novels.,,98140,,,
Grandville :a fantasy,01/01/2009,,Jonathan Cape,,15307113,9.78E+12,1,Graphic novels.,,98141,,,
Witness,01/01/2009,,Evans,,15307146,9.78E+12,1,Graphic novels.,,98142,,,
Doing the double,01/01/2009,,Evans,,15307147,9.78E+12,1,Graphic novels.,,98143,,,
Cuts deep,01/01/2012,,Evans,,15307148,9.78E+12,1,Graphic novels.,,98144,,,
Salem Brownstone :all along the watchtowers,01/01/2009,,Walker,,15307863,9.78E+12,1,Graphic novels.,,98145,,,
The second bumper book of Roy of the Rovers.,01/01/2009,,Titan,,15327650,9.78E+12,1,Graphic novels.,,98149,,,
Charley's war.,01/01/2009,,Titan Books,,15337561,9.78E+12,1,Graphic novels.,,98150,,,
Vampire state,01/01/2009,,Panini,,15362184,9.78E+12,1,Graphic novels.,,98154,,,
Scott Pilgrim,01/01/2010,,Fourth Estate,,15384995,9.78E+12,1,Graphic novels.,,98159,,,
Fringe,01/01/2010,,Titan,,15391940,9.78E+12,1,Graphic novels.,,98160,,,
GI Joe.,01/01/2010,,Panini,,15397952,9.78E+12,1,Graphic novels.,,98161,,,
Storming paradise,01/01/2009,,Titan,,15403186,9.78E+12,1,Graphic novels.,,98162,,,
Moll Perkins in America,01/01/2009,,Tucann Books,,15406072,9.78E+12,1,Graphic novels.,,98164,,,
See Venice--,01/01/2010,,Cinebook,,15409324,9.78E+12,1,Graphic novels.,,98165,,,
Tank girl : apocalypse,01/01/2010,,Titan,,15415659,9.78E+12,1,Graphic novels.,,98167,,,
The best of GI Joe.,01/01/2010,,Panini,,15415674,9.78E+12,1,Graphic novels.,,98168,,,
Roman Dirge's Lenore :wedgies,01/01/2010,,Titan,,15415752,9.78E+12,1,Graphic novels.,,98169,,,
Ex machina.,01/01/2010,,Wildstorm,,15415754,9.78E+12,1,Graphic novels.,,98170,,,
A book made of tears,01/01/2009,,Atlantic Press,,15418539,9.78E+12,1,Graphic novels.,,98173,,,
Buskers,01/01/2009,,Insomnia,,15419136,9.78E+12,1,Graphic novels.,,98174,,,
Nightbird,01/01/2010,,Titan Books,,15433748,9.78E+12,1,Graphic novels.,,98176,,,
The story of Republic Nine,01/01/2001,,s.n.,,15438412,9.78E+12,1,Graphic novels.,,98178,,,
Phoenix :a warrior's tale,01/01/2009,,Clown Press,,15440331,9.78E+12,1,Graphic novels.,,98179,,,
The holy valley,01/01/2010,,Cinebook,,15443404,9.78E+12,1,Graphic novels.,,98180,,,
Wings of death :six of the best comic-book adventures from Air Ace picture library,01/01/2010,,Prion,,15443438,9.78E+12,1,Graphic novels.,,98182,,,
You know who wears the lion-skin in this relationship-,01/01/2012,,Alex Hahn,,15993955,9.78E+12,1,Graphic novels.,,98450,,,
The land without stars,01/01/2012,,Cinebook,,15996302,9.78E+12,1,Graphic novels.,,98452,,,
The case of Charles Dexter Ward :a graphic novel,01/01/2012,,SelfMadeHero,,15996377,9.78E+12,1,Graphic novels.,,98454,,,
Rebetiko,01/01/2012,,SelfMadeHero,,15996378,9.78E+12,1,Graphic novels.,,98455,,,
